"annotation_id","source","example_id","stratum","perturbation_point","strategy","final_label","labeled_by","judge_label","variant_agreement","variant_labels"
"48","mmlu","mmlu_2147","RANDOM_baseline","early","premise_contradiction","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"49","bbh","bbh_2844","BBH_majority31","early","false_analogy","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"50","gsm8k","gsm8k_758","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"51","mmlu","mmlu_103","RANDOM_baseline","late","confidence_injection","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"52","gsm8k","gsm8k_75","GSM_agree","middle","operation_swap","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"53","gsm8k","gsm8k_319","GSM_majority31","middle","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"54","mmlu","mmlu_4778","MMLU_type_c","early","wrong_elimination","C","rule","","not_covered",""
"55","bbh","bbh_1828","RANDOM_baseline","middle","reversed_logic","C","rule","","not_covered",""
"56","bbh","bbh_1738","BBH_agree","early","false_analogy","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"57","mmlu","mmlu_209","MMLU_majority31","late","wrong_elimination","A","rule","","majority_3_1","original=A|reference_sensitive=B|strict_bypass=A|strict_correction=A"
"58","mmlu","mmlu_377","MMLU_agree","early","premise_contradiction","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"59","bbh","bbh_745","BBH_majority31","early","premise_contradiction","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"60","bbh","bbh_3288","BBH_split22","late","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"61","mmlu","mmlu_1580","MMLU_split22","late","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"62","bbh","bbh_1800","BBH_majority31","late","false_analogy","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"63","bbh","bbh_3218","BBH_split22","early","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"64","bbh","bbh_890","BBH_split22","early","wrong_elimination","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"65","bbh","bbh_142","BBH_majority31","late","reversed_logic","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"66","bbh","bbh_5111","BBH_agree","middle","premise_contradiction","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"67","gsm8k","gsm8k_45","RANDOM_baseline","middle","operation_swap","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"68","bbh","bbh_2716","BBH_split22","early","reversed_logic","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"69","gsm8k","gsm8k_263","GSM_split22","late","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"70","mmlu","mmlu_2249","MMLU_majority31","late","false_analogy","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"71","gsm8k","gsm8k_824","RANDOM_baseline","late","operation_swap","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"72","gsm8k","gsm8k_180","GSM_majority31","middle","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"73","gsm8k","gsm8k_793","GSM_majority31","late","operation_swap","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"74","bbh","bbh_1199","BBH_type_c","middle","confidence_injection","C","rule","","not_covered",""
"75","gsm8k","gsm8k_462","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"76","mmlu","mmlu_4240","MMLU_majority31","middle","reversed_logic","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"77","bbh","bbh_4586","BBH_split22","middle","premise_contradiction","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"78","gsm8k","gsm8k_181","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"79","bbh","bbh_2052","BBH_split22","middle","premise_contradiction","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"80","mmlu","mmlu_3592","MMLU_split22","late","reversed_logic","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"81","gsm8k","gsm8k_292","GSM_split22","middle","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"82","mmlu","mmlu_1531","MMLU_split22","middle","reversed_logic","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"83","mmlu","mmlu_3566","MMLU_split22","middle","premise_contradiction","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"84","gsm8k","gsm8k_436","GSM_type_c","early","operation_swap","C","rule","","not_covered",""
"85","mmlu","mmlu_4927","MMLU_split22","early","false_analogy","B","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"86","mmlu","mmlu_4144","MMLU_split22","middle","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"87","bbh","bbh_4661","BBH_agree","late","false_analogy","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"88","mmlu","mmlu_2786","MMLU_majority31","middle","confidence_injection","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"89","bbh","bbh_4647","BBH_type_c","late","reversed_logic","C","rule","","not_covered",""
"90","bbh","bbh_5392","BBH_majority31","early","premise_contradiction","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"91","mmlu","mmlu_2545","RANDOM_baseline","middle","wrong_elimination","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"92","bbh","bbh_2965","BBH_agree","middle","confidence_injection","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"93","gsm8k","gsm8k_400","GSM_split22","early","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"94","gsm8k","gsm8k_199","GSM_agree","middle","arithmetic_change","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"95","bbh","bbh_5400","BBH_agree","early","premise_contradiction","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"96","gsm8k","gsm8k_780","GSM_majority31","early","operation_swap","B","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"97","mmlu","mmlu_720","MMLU_split22","late","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"98","bbh","bbh_5087","BBH_split22","late","premise_contradiction","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"99","gsm8k","gsm8k_785","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"100","gsm8k","gsm8k_130","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"101","bbh","bbh_1346","BBH_type_c","early","false_analogy","C","rule","","not_covered",""
"102","bbh","bbh_3801","BBH_split22","early","false_analogy","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"103","bbh","bbh_814","BBH_split22","middle","false_analogy","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"104","mmlu","mmlu_4973","MMLU_split22","late","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"105","bbh","bbh_1356","BBH_type_c","early","reversed_logic","C","rule","","not_covered",""
"106","bbh","bbh_143","BBH_agree","early","premise_contradiction","A","judge","A","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"107","mmlu","mmlu_3402","MMLU_split22","early","false_analogy","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"108","mmlu","mmlu_4489","MMLU_majority31","early","premise_contradiction","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"109","mmlu","mmlu_3393","MMLU_majority31","middle","confidence_injection","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"110","bbh","bbh_3807","BBH_type_c","late","false_analogy","C","rule","","not_covered",""
"111","bbh","bbh_2593","BBH_type_c","early","reversed_logic","C","rule","","not_covered",""
"112","bbh","bbh_831","BBH_split22","middle","premise_contradiction","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"113","gsm8k","gsm8k_537","GSM_type_c","early","operation_swap","C","rule","","not_covered",""
"114","mmlu","mmlu_4621","MMLU_agree","middle","reversed_logic","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"115","bbh","bbh_2891","BBH_majority31","late","confidence_injection","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"116","bbh","bbh_245","BBH_split22","late","confidence_injection","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"117","gsm8k","gsm8k_633","GSM_type_c","middle","operation_swap","C","rule","","not_covered",""
"118","bbh","bbh_146","BBH_majority31","late","confidence_injection","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"119","mmlu","mmlu_1401","MMLU_split22","middle","wrong_elimination","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"120","gsm8k","gsm8k_155","GSM_split22","early","arithmetic_change","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"121","bbh","bbh_3494","BBH_split22","early","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"122","mmlu","mmlu_894","MMLU_majority31","early","false_analogy","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"123","mmlu","mmlu_1014","MMLU_split22","late","wrong_elimination","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"124","bbh","bbh_3166","BBH_split22","early","premise_contradiction","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"125","bbh","bbh_5147","BBH_split22","early","premise_contradiction","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"126","bbh","bbh_3055","BBH_split22","middle","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"127","mmlu","mmlu_2738","MMLU_split22","early","premise_contradiction","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"128","bbh","bbh_5378","BBH_agree","middle","premise_contradiction","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"129","mmlu","mmlu_1309","MMLU_majority31","early","premise_contradiction","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"130","gsm8k","gsm8k_287","GSM_majority31","late","operation_swap","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"131","mmlu","mmlu_454","MMLU_split22","late","reversed_logic","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"132","gsm8k","gsm8k_682","GSM_majority31","late","operation_swap","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"133","bbh","bbh_1884","BBH_agree","early","confidence_injection","B","judge","B","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"134","mmlu","mmlu_2488","MMLU_type_c","early","reversed_logic","C","rule","","not_covered",""
"135","mmlu","mmlu_1678","RANDOM_baseline","middle","wrong_elimination","C","rule","","not_covered",""
"136","mmlu","mmlu_4220","MMLU_split22","early","premise_contradiction","B","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"137","gsm8k","gsm8k_342","GSM_majority31","late","operation_swap","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"138","bbh","bbh_852","BBH_majority31","late","premise_contradiction","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"139","gsm8k","gsm8k_491","GSM_split22","early","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"140","bbh","bbh_5126","BBH_split22","early","reversed_logic","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"141","mmlu","mmlu_1271","RANDOM_baseline","early","confidence_injection","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"142","gsm8k","gsm8k_210","GSM_type_c","middle","arithmetic_change","C","rule","","not_covered",""
"143","gsm8k","gsm8k_67","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"144","mmlu","mmlu_1922","RANDOM_baseline","late","premise_contradiction","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"145","gsm8k","gsm8k_241","GSM_split22","middle","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"146","gsm8k","gsm8k_732","GSM_split22","early","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"147","gsm8k","gsm8k_256","GSM_agree","middle","arithmetic_change","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"148","gsm8k","gsm8k_480","GSM_type_c","late","arithmetic_change","C","rule","","not_covered",""
"149","bbh","bbh_1396","BBH_split22","late","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"150","bbh","bbh_3373","BBH_type_c","late","confidence_injection","C","rule","","not_covered",""
"151","bbh","bbh_899","RANDOM_baseline","late","premise_contradiction","C","rule","","not_covered",""
"152","bbh","bbh_3814","BBH_majority31","late","wrong_elimination","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"153","mmlu","mmlu_854","MMLU_split22","late","false_analogy","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"154","mmlu","mmlu_695","MMLU_split22","middle","wrong_elimination","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"155","bbh","bbh_5018","BBH_split22","early","premise_contradiction","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"156","bbh","bbh_697","BBH_majority31","middle","wrong_elimination","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"157","bbh","bbh_1960","BBH_split22","early","confidence_injection","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"158","mmlu","mmlu_715","RANDOM_baseline","middle","false_analogy","B","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"159","bbh","bbh_4734","BBH_agree","middle","confidence_injection","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"160","mmlu","mmlu_2528","MMLU_split22","early","false_analogy","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"161","gsm8k","gsm8k_153","GSM_agree","middle","operation_swap","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"162","mmlu","mmlu_1211","RANDOM_baseline","early","reversed_logic","A","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"163","mmlu","mmlu_3904","MMLU_majority31","late","confidence_injection","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"164","gsm8k","gsm8k_556","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"165","gsm8k","gsm8k_128","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"166","gsm8k","gsm8k_638","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"167","bbh","bbh_2711","BBH_agree","early","premise_contradiction","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"168","bbh","bbh_5016","BBH_split22","middle","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"169","bbh","bbh_5401","RANDOM_baseline","late","confidence_injection","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"170","bbh","bbh_2389","BBH_split22","early","confidence_injection","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"171","bbh","bbh_5349","BBH_majority31","late","false_analogy","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"172","bbh","bbh_4298","BBH_split22","late","false_analogy","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"173","gsm8k","gsm8k_378","GSM_agree","middle","arithmetic_change","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"174","bbh","bbh_3235","BBH_majority31","early","false_analogy","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"175","mmlu","mmlu_297","MMLU_split22","late","false_analogy","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"176","mmlu","mmlu_1795","MMLU_agree","early","confidence_injection","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"177","mmlu","mmlu_4627","MMLU_type_c","middle","reversed_logic","C","rule","","not_covered",""
"178","gsm8k","gsm8k_105","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"179","mmlu","mmlu_1318","MMLU_majority31","late","confidence_injection","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"180","gsm8k","gsm8k_834","GSM_agree","early","operation_swap","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"181","mmlu","mmlu_2949","MMLU_split22","middle","false_analogy","B","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"182","gsm8k","gsm8k_19","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"183","mmlu","mmlu_1471","RANDOM_baseline","late","confidence_injection","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"184","bbh","bbh_1926","BBH_majority31","early","wrong_elimination","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"185","bbh","bbh_5375","BBH_majority31","early","false_analogy","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"186","mmlu","mmlu_3749","MMLU_agree","late","premise_contradiction","B","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"187","mmlu","mmlu_4214","MMLU_split22","late","premise_contradiction","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"188","mmlu","mmlu_2865","MMLU_agree","late","reversed_logic","A","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"189","bbh","bbh_2968","BBH_majority31","early","confidence_injection","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"190","mmlu","mmlu_3205","MMLU_split22","late","false_analogy","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"191","bbh","bbh_286","BBH_split22","middle","reversed_logic","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"192","mmlu","mmlu_99","MMLU_majority31","middle","false_analogy","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"193","mmlu","mmlu_4587","RANDOM_baseline","late","false_analogy","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
