"annotation_id","source","example_id","stratum","perturbation_point","strategy","auto_label","judge_label"
"33","gsm8k","gsm8k_41","GSM_judge_to_b","late","operation_swap","TYPE_B","B"
"34","gsm8k","gsm8k_543","GSM_judge_to_b","late","operation_swap","TYPE_B","B"
"35","bbh","bbh_1384","BBH_type_a","late","false_analogy","TYPE_A","A"
"36","bbh","bbh_2012","BBH_type_c","late","false_analogy","TYPE_C",""
"37","bbh","bbh_4110","BBH_type_c","late","premise_contradiction","TYPE_C",""
"38","mmlu","mmlu_344","MMLU_judge_to_b","late","wrong_elimination","TYPE_B","B"
"39","gsm8k","gsm8k_224","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"40","gsm8k","gsm8k_662","GSM_judge_to_a","middle","arithmetic_change","TYPE_A","A"
"41","bbh","bbh_1777","BBH_type_c","late","wrong_elimination","TYPE_C",""
"42","mmlu","mmlu_2397","MMLU_rule_b","late","false_analogy","TYPE_B",""
"43","bbh","bbh_5299","BBH_type_c","early","premise_contradiction","TYPE_C",""
"44","bbh","bbh_2601","BBH_type_c","middle","wrong_elimination","TYPE_C",""
"45","mmlu","mmlu_235","MMLU_judge_to_b","early","confidence_injection","TYPE_B","B"
"46","bbh","bbh_2657","RANDOM_baseline","early","premise_contradiction","TYPE_C",""
"47","mmlu","mmlu_814","MMLU_judge_to_a","middle","wrong_elimination","TYPE_A","A"
"48","gsm8k","gsm8k_14","GSM_judge_to_b","early","operation_swap","TYPE_B","B"
"49","mmlu","mmlu_1527","MMLU_judge_to_b","early","confidence_injection","TYPE_B","B"
"50","mmlu","mmlu_4900","RANDOM_baseline","middle","confidence_injection","TYPE_A",""
"51","mmlu","mmlu_3184","RANDOM_baseline","late","false_analogy","TYPE_A",""
"52","bbh","bbh_5136","BBH_type_c","middle","premise_contradiction","TYPE_C",""
"53","mmlu","mmlu_1519","RANDOM_baseline","middle","confidence_injection","TYPE_B",""
"54","bbh","bbh_1479","BBH_type_c","late","false_analogy","TYPE_C",""
"55","bbh","bbh_37","BBH_type_a","late","false_analogy","TYPE_A","A"
"56","bbh","bbh_5463","BBH_type_c","late","wrong_elimination","TYPE_C",""
"57","gsm8k","gsm8k_509","GSM_judge_to_a","middle","operation_swap","TYPE_A","A"
"58","mmlu","mmlu_1918","RANDOM_baseline","late","reversed_logic","TYPE_C",""
"59","gsm8k","gsm8k_843","GSM_judge_to_a","late","operation_swap","TYPE_A","A"
"60","bbh","bbh_5231","RANDOM_baseline","middle","confidence_injection","TYPE_C",""
"61","mmlu","mmlu_1227","MMLU_rule_b","early","confidence_injection","TYPE_B",""
"62","gsm8k","gsm8k_311","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"63","mmlu","mmlu_762","MMLU_judge_to_b","middle","false_analogy","TYPE_B","B"
"64","mmlu","mmlu_2784","MMLU_judge_to_a","middle","premise_contradiction","TYPE_A","A"
"65","mmlu","mmlu_3550","MMLU_judge_to_a","middle","wrong_elimination","TYPE_A","A"
"66","mmlu","mmlu_884","MMLU_rule_b","early","wrong_elimination","TYPE_B",""
"67","mmlu","mmlu_3396","MMLU_judge_to_b","middle","confidence_injection","TYPE_B","B"
"68","bbh","bbh_3421","BBH_type_a","middle","reversed_logic","TYPE_A","A"
"69","gsm8k","gsm8k_89","GSM_judge_to_a","late","arithmetic_change","TYPE_A","A"
"70","gsm8k","gsm8k_621","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"71","bbh","bbh_1833","BBH_type_c","early","false_analogy","TYPE_C",""
"72","mmlu","mmlu_1536","RANDOM_baseline","middle","premise_contradiction","TYPE_B",""
"73","gsm8k","gsm8k_6","GSM_judge_to_a","late","operation_swap","TYPE_A","A"
"74","gsm8k","gsm8k_781","GSM_judge_to_b","middle","operation_swap","TYPE_B","B"
"75","gsm8k","gsm8k_383","RANDOM_baseline","late","operation_swap","TYPE_A",""
"76","gsm8k","gsm8k_291","GSM_judge_to_a","late","operation_swap","TYPE_A","A"
"77","bbh","bbh_5076","BBH_type_c","late","wrong_elimination","TYPE_C",""
"78","gsm8k","gsm8k_194","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"79","gsm8k","gsm8k_240","GSM_type_c","middle","arithmetic_change","TYPE_C",""
"80","gsm8k","gsm8k_314","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"81","mmlu","mmlu_4208","MMLU_judge_to_b","late","confidence_injection","TYPE_B","B"
"82","gsm8k","gsm8k_627","GSM_judge_to_b","middle","operation_swap","TYPE_B","B"
"83","bbh","bbh_5280","BBH_type_c","middle","confidence_injection","TYPE_C",""
"84","mmlu","mmlu_3499","MMLU_judge_to_a","late","wrong_elimination","TYPE_A","A"
"85","bbh","bbh_291","BBH_type_a","middle","confidence_injection","TYPE_A","A"
"86","gsm8k","gsm8k_1","GSM_type_c","late","operation_swap","TYPE_C",""
"87","mmlu","mmlu_2051","MMLU_rule_b","early","wrong_elimination","TYPE_B",""
"88","mmlu","mmlu_1377","MMLU_rule_b","late","reversed_logic","TYPE_B",""
"89","mmlu","mmlu_2847","MMLU_judge_to_a","early","false_analogy","TYPE_A","A"
"90","bbh","bbh_130","BBH_type_c","middle","reversed_logic","TYPE_C",""
"91","mmlu","mmlu_1479","MMLU_rule_b","middle","reversed_logic","TYPE_B",""
"92","mmlu","mmlu_2695","MMLU_judge_to_b","middle","confidence_injection","TYPE_B","B"
"93","mmlu","mmlu_4950","MMLU_judge_to_a","late","false_analogy","TYPE_A","A"
"94","bbh","bbh_3365","BBH_type_a","late","false_analogy","TYPE_A","A"
"95","mmlu","mmlu_519","MMLU_judge_to_b","middle","false_analogy","TYPE_B","B"
"96","mmlu","mmlu_2513","RANDOM_baseline","late","confidence_injection","TYPE_A",""
"97","bbh","bbh_165","BBH_type_a","early","wrong_elimination","TYPE_A","A"
"98","bbh","bbh_3170","RANDOM_baseline","middle","reversed_logic","TYPE_A","A"
"99","mmlu","mmlu_4935","MMLU_judge_to_a","middle","confidence_injection","TYPE_A","A"
"100","gsm8k","gsm8k_537","GSM_judge_to_a","late","operation_swap","TYPE_A","A"
"101","mmlu","mmlu_3897","MMLU_judge_to_b","middle","confidence_injection","TYPE_B","B"
"102","bbh","bbh_2467","BBH_type_c","early","wrong_elimination","TYPE_C",""
"103","bbh","bbh_3729","BBH_type_c","middle","reversed_logic","TYPE_C",""
"104","mmlu","mmlu_3086","RANDOM_baseline","middle","premise_contradiction","TYPE_A",""
"105","gsm8k","gsm8k_360","GSM_judge_to_b","early","operation_swap","TYPE_B","B"
"106","bbh","bbh_3510","BBH_type_a","early","confidence_injection","TYPE_A","A"
"107","mmlu","mmlu_820","MMLU_rule_b","early","false_analogy","TYPE_B",""
"108","gsm8k","gsm8k_783","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"109","gsm8k","gsm8k_134","GSM_judge_to_a","middle","operation_swap","TYPE_A","A"
"110","bbh","bbh_311","BBH_type_a","late","reversed_logic","TYPE_A","A"
"111","bbh","bbh_3214","BBH_type_a","late","false_analogy","TYPE_A","A"
"112","gsm8k","gsm8k_565","GSM_judge_to_a","middle","operation_swap","TYPE_A","A"
"113","gsm8k","gsm8k_782","GSM_type_c","early","arithmetic_change","TYPE_C",""
"114","mmlu","mmlu_3120","MMLU_judge_to_b","middle","confidence_injection","TYPE_B","B"
"115","mmlu","mmlu_1765","MMLU_rule_b","late","wrong_elimination","TYPE_B",""
"116","mmlu","mmlu_621","MMLU_rule_b","middle","reversed_logic","TYPE_B",""
"117","bbh","bbh_121","BBH_type_a","middle","false_analogy","TYPE_A","A"
"118","mmlu","mmlu_949","MMLU_judge_to_a","early","false_analogy","TYPE_A","A"
"119","bbh","bbh_1795","BBH_type_c","late","premise_contradiction","TYPE_C",""
"120","bbh","bbh_4590","BBH_unclear","middle","wrong_elimination","UNCLEAR",""
"121","bbh","bbh_5478","BBH_type_c","middle","false_analogy","TYPE_C",""
"122","bbh","bbh_338","BBH_type_c","late","confidence_injection","TYPE_C",""
"123","mmlu","mmlu_376","MMLU_rule_b","middle","wrong_elimination","TYPE_B",""
"124","mmlu","mmlu_2955","MMLU_rule_b","late","reversed_logic","TYPE_B",""
"125","mmlu","mmlu_4002","RANDOM_baseline","late","wrong_elimination","TYPE_A","A"
"126","gsm8k","gsm8k_259","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"127","mmlu","mmlu_4202","RANDOM_baseline","late","reversed_logic","TYPE_A",""
"128","bbh","bbh_926","BBH_type_c","early","reversed_logic","TYPE_C",""
"129","bbh","bbh_2815","RANDOM_baseline","middle","confidence_injection","TYPE_C",""
"130","bbh","bbh_4745","BBH_type_c","middle","premise_contradiction","TYPE_C",""
"131","mmlu","mmlu_311","MMLU_rule_b","late","reversed_logic","TYPE_B",""
"132","gsm8k","gsm8k_269","GSM_type_c","middle","arithmetic_change","TYPE_C",""
"133","mmlu","mmlu_378","MMLU_rule_b","late","wrong_elimination","TYPE_B",""
"134","bbh","bbh_1721","BBH_type_c","late","reversed_logic","TYPE_C",""
"135","bbh","bbh_106","BBH_type_a","late","confidence_injection","TYPE_A","A"
"136","mmlu","mmlu_522","MMLU_judge_to_a","early","wrong_elimination","TYPE_A","A"
"137","gsm8k","gsm8k_64","GSM_type_c","early","operation_swap","TYPE_C",""
"138","bbh","bbh_2358","RANDOM_baseline","early","confidence_injection","TYPE_C",""
"139","gsm8k","gsm8k_248","GSM_judge_to_b","late","operation_swap","TYPE_B","B"
"140","mmlu","mmlu_4483","MMLU_judge_to_a","early","confidence_injection","TYPE_A","A"
"141","mmlu","mmlu_3734","RANDOM_baseline","late","premise_contradiction","TYPE_A",""
"142","bbh","bbh_4185","BBH_type_c","early","false_analogy","TYPE_C",""
"143","bbh","bbh_1057","BBH_type_c","late","premise_contradiction","TYPE_C",""
"144","gsm8k","gsm8k_774","GSM_type_c","late","arithmetic_change","TYPE_C",""
"145","mmlu","mmlu_4046","MMLU_judge_to_b","early","confidence_injection","TYPE_B","B"
"146","gsm8k","gsm8k_831","GSM_judge_to_a","late","arithmetic_change","TYPE_A","A"
"147","gsm8k","gsm8k_506","RANDOM_baseline","late","operation_swap","TYPE_A","A"
"148","mmlu","mmlu_2292","MMLU_judge_to_b","late","false_analogy","TYPE_B","B"
"149","bbh","bbh_4287","BBH_type_c","late","wrong_elimination","TYPE_C",""
"150","bbh","bbh_4721","RANDOM_baseline","middle","wrong_elimination","TYPE_C",""
"151","mmlu","mmlu_2561","RANDOM_baseline","early","confidence_injection","TYPE_A","A"
"152","mmlu","mmlu_962","MMLU_judge_to_a","early","confidence_injection","TYPE_A","A"
"153","gsm8k","gsm8k_692","GSM_judge_to_a","late","operation_swap","TYPE_A","A"
"154","gsm8k","gsm8k_142","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"155","mmlu","mmlu_3776","MMLU_judge_to_b","early","false_analogy","TYPE_B","B"
"156","mmlu","mmlu_1844","MMLU_rule_b","late","reversed_logic","TYPE_B",""
"157","gsm8k","gsm8k_170","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"158","bbh","bbh_3504","BBH_type_a","early","wrong_elimination","TYPE_A","A"
"159","bbh","bbh_43","BBH_type_a","late","false_analogy","TYPE_A","A"
"160","mmlu","mmlu_4209","MMLU_rule_b","late","premise_contradiction","TYPE_B",""
"161","bbh","bbh_3087","BBH_type_a","middle","premise_contradiction","TYPE_A","A"
"162","bbh","bbh_114","BBH_type_a","late","wrong_elimination","TYPE_A","A"
"163","bbh","bbh_132","BBH_type_a","middle","false_analogy","TYPE_A","A"
"164","bbh","bbh_5468","BBH_type_c","early","premise_contradiction","TYPE_C",""
"165","mmlu","mmlu_1065","MMLU_rule_b","early","wrong_elimination","TYPE_B",""
"166","bbh","bbh_1277","BBH_unclear","middle","wrong_elimination","UNCLEAR",""
"167","mmlu","mmlu_4599","MMLU_judge_to_b","early","confidence_injection","TYPE_B","B"
"168","mmlu","mmlu_2880","MMLU_rule_b","late","false_analogy","TYPE_B",""
"169","bbh","bbh_404","BBH_type_a","middle","wrong_elimination","TYPE_A","A"
"170","gsm8k","gsm8k_557","GSM_judge_to_a","middle","operation_swap","TYPE_A","A"
"171","bbh","bbh_45","BBH_type_a","early","confidence_injection","TYPE_A","A"
"172","bbh","bbh_1008","BBH_unclear","middle","reversed_logic","UNCLEAR",""
"173","gsm8k","gsm8k_0","GSM_judge_to_a","late","operation_swap","TYPE_A","A"
"174","bbh","bbh_2825","BBH_type_c","middle","false_analogy","TYPE_C",""
"175","mmlu","mmlu_3752","MMLU_judge_to_a","early","false_analogy","TYPE_A","A"
"176","mmlu","mmlu_773","MMLU_judge_to_b","middle","false_analogy","TYPE_B","B"
"177","mmlu","mmlu_2990","MMLU_judge_to_a","late","wrong_elimination","TYPE_A","A"
"178","gsm8k","gsm8k_768","GSM_judge_to_b","late","operation_swap","TYPE_B","B"
"179","mmlu","mmlu_2948","MMLU_rule_b","early","wrong_elimination","TYPE_B",""
"180","mmlu","mmlu_2878","RANDOM_baseline","late","wrong_elimination","TYPE_B",""
"181","gsm8k","gsm8k_385","GSM_type_c","early","arithmetic_change","TYPE_C",""
"182","gsm8k","gsm8k_61","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"183","bbh","bbh_3293","RANDOM_baseline","late","confidence_injection","TYPE_A","A"
"184","bbh","bbh_976","BBH_type_c","early","reversed_logic","TYPE_C",""
"185","bbh","bbh_5434","RANDOM_baseline","middle","confidence_injection","TYPE_C",""
"186","mmlu","mmlu_246","MMLU_judge_to_b","late","false_analogy","TYPE_B","B"
"187","bbh","bbh_4448","BBH_type_c","early","wrong_elimination","TYPE_C",""
"188","gsm8k","gsm8k_837","GSM_type_c","early","arithmetic_change","TYPE_C",""
"189","mmlu","mmlu_3458","MMLU_rule_b","middle","false_analogy","TYPE_B",""
"190","mmlu","mmlu_3560","MMLU_judge_to_b","early","false_analogy","TYPE_B","B"
"191","gsm8k","gsm8k_341","GSM_judge_to_a","middle","operation_swap","TYPE_A","A"
"192","bbh","bbh_2356","BBH_type_c","early","confidence_injection","TYPE_C",""
"193","mmlu","mmlu_2946","MMLU_judge_to_b","middle","confidence_injection","TYPE_B","B"
"194","mmlu","mmlu_2535","MMLU_judge_to_a","late","wrong_elimination","TYPE_A","A"
"195","mmlu","mmlu_2518","MMLU_rule_b","middle","wrong_elimination","TYPE_B",""
"196","mmlu","mmlu_1740","RANDOM_baseline","early","premise_contradiction","TYPE_A",""
"197","bbh","bbh_3102","BBH_type_c","late","confidence_injection","TYPE_C",""
"198","mmlu","mmlu_602","RANDOM_baseline","late","premise_contradiction","TYPE_A",""
"199","mmlu","mmlu_2943","MMLU_judge_to_b","middle","wrong_elimination","TYPE_B","B"
"200","mmlu","mmlu_3205","RANDOM_baseline","early","reversed_logic","TYPE_C",""
